gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	Germ.PGC	Germ.oocyte	Germ.oogonia_STRA8	Germ.oogonia_meiotic	Somatic.OSE	Somatic.granulosa	Somatic.preGC_IIa	Somatic.preGC_IIb
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CS052714C89	GLS	0.006	0.091	0.005	0.0	0.003	0.006	0.008	0.046
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CS0CD4875F8	GLS	0.006	0.091	0.005	0.0	0.003	0.006	0.008	0.046
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CS0C43745D6	GLS	0.006	0.091	0.005	0.0	0.003	0.006	0.008	0.046
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CS07AF8702D	GLS	0.006	0.091	0.005	0.0	0.003	0.006	0.008	0.046
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CS0A5376E7A	GLS	0.006	0.091	0.005	0.0	0.003	0.006	0.008	0.046
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CS020F306DA	GLS	0.006	0.091	0.005	0.0	0.003	0.006	0.008	0.046
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CS07EF8D9C2	GLS	0.006	0.091	0.005	0.0	0.003	0.006	0.008	0.046
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CS08910752E	GLS	0.006	0.091	0.005	0.0	0.003	0.006	0.008	0.046
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS075A67A85	GLS	0.002	0.0	0.006	0.027	0.0	0.0	0.0	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS033CD7688	GLS	0.002	0.0	0.006	0.027	0.0	0.0	0.0	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS0785280EB	GLS	0.002	0.0	0.006	0.027	0.0	0.0	0.0	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS03DC69BFC	GLS	0.002	0.0	0.006	0.027	0.0	0.0	0.0	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS025FBADF2	GLS	0.002	0.0	0.006	0.027	0.0	0.0	0.0	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CC0A742EB85	GLS	0.002	0.0	0.006	0.027	0.0	0.0	0.0	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CC0BADC1C23	GLS	0.002	0.0	0.006	0.027	0.0	0.0	0.0	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS0132B4C1D	GLS	0.002	0.0	0.006	0.027	0.0	0.0	0.0	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CC0E5063BA7	GLS	0.002	0.0	0.006	0.027	0.0	0.0	0.0	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CC0E7F3E3CE	GLS	0.002	0.0	0.006	0.027	0.0	0.0	0.0	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS0A0633E77	GLS	0.002	0.0	0.006	0.027	0.0	0.0	0.0	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CC02AA64371	GLS	0.002	0.0	0.006	0.027	0.0	0.0	0.0	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CC0D9EE71E7	GLS	0.002	0.0	0.006	0.027	0.0	0.0	0.0	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CC095C752D3	GLS	0.002	0.0	0.006	0.027	0.0	0.0	0.0	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CC02CD61933	GLS	0.002	0.0	0.006	0.027	0.0	0.0	0.0	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CC0AD6F0571	GLS	0.002	0.0	0.006	0.027	0.0	0.0	0.0	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CC054692E80	GLS	0.002	0.0	0.006	0.027	0.0	0.0	0.0	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS0F62789CF	GLS	0.002	0.0	0.006	0.027	0.0	0.0	0.0	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS0CA04CA30	GLS	0.002	0.0	0.006	0.027	0.0	0.0	0.0	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS0D67AEEF8	GLS	0.002	0.0	0.006	0.027	0.0	0.0	0.0	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS0EF654316	GLS	0.002	0.0	0.006	0.027	0.0	0.0	0.0	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS002ECD5B1	GLS	0.002	0.0	0.006	0.027	0.0	0.0	0.0	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS070154D3B	GLS	0.002	0.0	0.006	0.027	0.0	0.0	0.0	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS0F4C33641	GLS	0.002	0.0	0.006	0.027	0.0	0.0	0.0	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS0279E4E92	GLS	0.002	0.0	0.006	0.027	0.0	0.0	0.0	0.0
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS_and_SLC17A8	CPI-CS060E6DE65	SLC17A8	0.0	0.007	0.002	0.001	0.032	0.263	0.036	0.122
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS_and_SLC17A8	CPI-CS0A7A0DFA4	SLC17A8	0.0	0.007	0.002	0.001	0.032	0.263	0.036	0.122
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS_and_SLC17A8	CPI-CS0CC66DA88	SLC17A8	0.0	0.007	0.002	0.001	0.032	0.263	0.036	0.122
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS_and_SLC17A8	CPI-CS01E787EA3	SLC17A8	0.0	0.007	0.002	0.001	0.032	0.263	0.036	0.122
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS_and_SLC17A8	CPI-CS0EE79A115	SLC17A8	0.0	0.007	0.002	0.001	0.032	0.263	0.036	0.122
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS_and_SLC17A8	CPI-CC0AF0BFF2F	SLC17A8	0.0	0.007	0.002	0.001	0.032	0.263	0.036	0.122
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS_and_SLC17A8	CPI-CC0CF47E58F	SLC17A8	0.0	0.007	0.002	0.001	0.032	0.263	0.036	0.122
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS_and_SLC17A8	CPI-CS0F1EA3405	SLC17A8	0.0	0.007	0.002	0.001	0.032	0.263	0.036	0.122
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS_and_SLC17A8	CPI-CC01959C6DB	SLC17A8	0.0	0.007	0.002	0.001	0.032	0.263	0.036	0.122
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS_and_SLC17A8	CPI-CC01ABAB207	SLC17A8	0.0	0.007	0.002	0.001	0.032	0.263	0.036	0.122
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS_and_SLC17A8	CPI-CS0CA393163	SLC17A8	0.0	0.007	0.002	0.001	0.032	0.263	0.036	0.122
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS_and_SLC17A8	CPI-CC08139357E	SLC17A8	0.0	0.007	0.002	0.001	0.032	0.263	0.036	0.122
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS_and_SLC17A8	CPI-CC04069CB35	SLC17A8	0.0	0.007	0.002	0.001	0.032	0.263	0.036	0.122
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS_and_SLC17A8	CPI-CC0859442EA	SLC17A8	0.0	0.007	0.002	0.001	0.032	0.263	0.036	0.122
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS_and_SLC17A8	CPI-CC014C4FF5F	SLC17A8	0.0	0.007	0.002	0.001	0.032	0.263	0.036	0.122
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS_and_SLC17A8	CPI-CC07BE1B308	SLC17A8	0.0	0.007	0.002	0.001	0.032	0.263	0.036	0.122
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS_and_SLC17A8	CPI-CC00FE16546	SLC17A8	0.0	0.007	0.002	0.001	0.032	0.263	0.036	0.122
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS_and_SLC17A8	CPI-CS0A5982069	SLC17A8	0.0	0.007	0.002	0.001	0.032	0.263	0.036	0.122
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS_and_SLC17A8	CPI-CS00F7ADF6B	SLC17A8	0.0	0.007	0.002	0.001	0.032	0.263	0.036	0.122
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS_and_SLC17A8	CPI-CS01EA6FC47	SLC17A8	0.0	0.007	0.002	0.001	0.032	0.263	0.036	0.122
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS_and_SLC17A8	CPI-CS03479D25E	SLC17A8	0.0	0.007	0.002	0.001	0.032	0.263	0.036	0.122
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS_and_SLC17A8	CPI-CS094459C68	SLC17A8	0.0	0.007	0.002	0.001	0.032	0.263	0.036	0.122
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS_and_SLC17A8	CPI-CS07B0A120C	SLC17A8	0.0	0.007	0.002	0.001	0.032	0.263	0.036	0.122
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS_and_SLC17A8	CPI-CS0CDD9F86D	SLC17A8	0.0	0.007	0.002	0.001	0.032	0.263	0.036	0.122
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS_and_SLC17A8	CPI-CS008F12179	SLC17A8	0.0	0.007	0.002	0.001	0.032	0.263	0.036	0.122
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS2_and_SLC17A8	CPI-CS0B9399ADE	SLC17A8	0.0	0.007	0.002	0.001	0.017	0.011	0.013	0.019
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS2_and_SLC17A8	CPI-CS037E61225	SLC17A8	0.0	0.007	0.002	0.001	0.017	0.011	0.013	0.019
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS2_and_SLC17A8	CPI-CS071E7684F	SLC17A8	0.0	0.007	0.002	0.001	0.017	0.011	0.013	0.019
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS2_and_SLC17A8	CPI-CS07CDBB858	SLC17A8	0.0	0.007	0.002	0.001	0.017	0.011	0.013	0.019
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS2_and_SLC17A8	CPI-CS00271E4F9	SLC17A8	0.0	0.007	0.002	0.001	0.017	0.011	0.013	0.019
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS2_and_SLC17A8	CPI-CC01ABA8B9E	SLC17A8	0.0	0.007	0.002	0.001	0.017	0.011	0.013	0.019
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS2_and_SLC17A8	CPI-CC0212DA3AE	SLC17A8	0.0	0.007	0.002	0.001	0.017	0.011	0.013	0.019
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS2_and_SLC17A8	CPI-CS0C7259F7C	SLC17A8	0.0	0.007	0.002	0.001	0.017	0.011	0.013	0.019
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS2_and_SLC17A8	CPI-CC02F47F87C	SLC17A8	0.0	0.007	0.002	0.001	0.017	0.011	0.013	0.019
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS2_and_SLC17A8	CPI-CC0D4DB34E9	SLC17A8	0.0	0.007	0.002	0.001	0.017	0.011	0.013	0.019
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS2_and_SLC17A8	CPI-CS0AB128395	SLC17A8	0.0	0.007	0.002	0.001	0.017	0.011	0.013	0.019
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS2_and_SLC17A8	CPI-CC0E019A0C0	SLC17A8	0.0	0.007	0.002	0.001	0.017	0.011	0.013	0.019
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS2_and_SLC17A8	CPI-CC08537FF5B	SLC17A8	0.0	0.007	0.002	0.001	0.017	0.011	0.013	0.019
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS2_and_SLC17A8	CPI-CC033072405	SLC17A8	0.0	0.007	0.002	0.001	0.017	0.011	0.013	0.019
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS2_and_SLC17A8	CPI-CC084ABBDE8	SLC17A8	0.0	0.007	0.002	0.001	0.017	0.011	0.013	0.019
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS2_and_SLC17A8	CPI-CC00A4CC26C	SLC17A8	0.0	0.007	0.002	0.001	0.017	0.011	0.013	0.019
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS2_and_SLC17A8	CPI-CC02D7E1CD1	SLC17A8	0.0	0.007	0.002	0.001	0.017	0.011	0.013	0.019
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS2_and_SLC17A8	CPI-CS0416CB0F5	SLC17A8	0.0	0.007	0.002	0.001	0.017	0.011	0.013	0.019
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS2_and_SLC17A8	CPI-CS090CDDA91	SLC17A8	0.0	0.007	0.002	0.001	0.017	0.011	0.013	0.019
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS2_and_SLC17A8	CPI-CS0A5B00FEC	SLC17A8	0.0	0.007	0.002	0.001	0.017	0.011	0.013	0.019
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS2_and_SLC17A8	CPI-CS00323BD9A	SLC17A8	0.0	0.007	0.002	0.001	0.017	0.011	0.013	0.019
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS2_and_SLC17A8	CPI-CS0A5C5F9DF	SLC17A8	0.0	0.007	0.002	0.001	0.017	0.011	0.013	0.019
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS2_and_SLC17A8	CPI-CS0B8F51188	SLC17A8	0.0	0.007	0.002	0.001	0.017	0.011	0.013	0.019
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS2_and_SLC17A8	CPI-CS00B734C46	SLC17A8	0.0	0.007	0.002	0.001	0.017	0.011	0.013	0.019
SLC17A8	Q8NDX2	True	VGLU3_HUMAN	Glutamate_byGLS2_and_SLC17A8	CPI-CS01BC2C4FF	SLC17A8	0.0	0.007	0.002	0.001	0.017	0.011	0.013	0.019
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CS0D5D712A6	SLC1A1	0.003	0.01	0.003	0.003	0.03	0.011	0.017	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CS0D893EB03	SLC1A1	0.003	0.01	0.003	0.003	0.03	0.011	0.017	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CS0921FDCC0	SLC1A1	0.003	0.01	0.003	0.003	0.03	0.011	0.017	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CS0C53F30BC	SLC1A1	0.003	0.01	0.003	0.003	0.03	0.011	0.017	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CS070ACE5CB	SLC1A1	0.003	0.01	0.003	0.003	0.03	0.011	0.017	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CC08C4BCAED	SLC1A1	0.003	0.01	0.003	0.003	0.03	0.011	0.017	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CC00F486A57	SLC1A1	0.003	0.01	0.003	0.003	0.03	0.011	0.017	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CS07D0E4897	SLC1A1	0.003	0.01	0.003	0.003	0.03	0.011	0.017	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CC052F5C918	SLC1A1	0.003	0.01	0.003	0.003	0.03	0.011	0.017	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CC0EAD8AFBF	SLC1A1	0.003	0.01	0.003	0.003	0.03	0.011	0.017	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CS044A80E08	SLC1A1	0.003	0.01	0.003	0.003	0.03	0.011	0.017	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CC0B7463256	SLC1A1	0.003	0.01	0.003	0.003	0.03	0.011	0.017	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CC0699D36D3	SLC1A1	0.003	0.01	0.003	0.003	0.03	0.011	0.017	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CC0CE99AC11	SLC1A1	0.003	0.01	0.003	0.003	0.03	0.011	0.017	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CC05708A400	SLC1A1	0.003	0.01	0.003	0.003	0.03	0.011	0.017	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CC0FC2F01AB	SLC1A1	0.003	0.01	0.003	0.003	0.03	0.011	0.017	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CC037A4383F	SLC1A1	0.003	0.01	0.003	0.003	0.03	0.011	0.017	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CS059E38F49	SLC1A1	0.003	0.01	0.003	0.003	0.03	0.011	0.017	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CS099892F99	SLC1A1	0.003	0.01	0.003	0.003	0.03	0.011	0.017	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CS035E3DC49	SLC1A1	0.003	0.01	0.003	0.003	0.03	0.011	0.017	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CS08648BDFD	SLC1A1	0.003	0.01	0.003	0.003	0.03	0.011	0.017	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CS0EECB890E	SLC1A1	0.003	0.01	0.003	0.003	0.03	0.011	0.017	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CS0A1A5DA91	SLC1A1	0.003	0.01	0.003	0.003	0.03	0.011	0.017	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CS093EF3F47	SLC1A1	0.003	0.01	0.003	0.003	0.03	0.011	0.017	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CS0BEF05FE2	SLC1A1	0.003	0.01	0.003	0.003	0.03	0.011	0.017	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS2_and_SLC1A1	CPI-CS0933776AC	SLC1A1	0.003	0.01	0.003	0.003	0.017	0.011	0.013	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS2_and_SLC1A1	CPI-CS0E5DBD27E	SLC1A1	0.003	0.01	0.003	0.003	0.017	0.011	0.013	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS2_and_SLC1A1	CPI-CS0899E9304	SLC1A1	0.003	0.01	0.003	0.003	0.017	0.011	0.013	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS2_and_SLC1A1	CPI-CS06451E34A	SLC1A1	0.003	0.01	0.003	0.003	0.017	0.011	0.013	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS2_and_SLC1A1	CPI-CS0DD8D3E0E	SLC1A1	0.003	0.01	0.003	0.003	0.017	0.011	0.013	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS2_and_SLC1A1	CPI-CC007CF847B	SLC1A1	0.003	0.01	0.003	0.003	0.017	0.011	0.013	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS2_and_SLC1A1	CPI-CC08EE84AE8	SLC1A1	0.003	0.01	0.003	0.003	0.017	0.011	0.013	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS2_and_SLC1A1	CPI-CS048A34709	SLC1A1	0.003	0.01	0.003	0.003	0.017	0.011	0.013	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS2_and_SLC1A1	CPI-CC05A802EBC	SLC1A1	0.003	0.01	0.003	0.003	0.017	0.011	0.013	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS2_and_SLC1A1	CPI-CC086C2B918	SLC1A1	0.003	0.01	0.003	0.003	0.017	0.011	0.013	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS2_and_SLC1A1	CPI-CS01D65FEFD	SLC1A1	0.003	0.01	0.003	0.003	0.017	0.011	0.013	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS2_and_SLC1A1	CPI-CC0160048A0	SLC1A1	0.003	0.01	0.003	0.003	0.017	0.011	0.013	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS2_and_SLC1A1	CPI-CC0E8B3C37F	SLC1A1	0.003	0.01	0.003	0.003	0.017	0.011	0.013	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS2_and_SLC1A1	CPI-CC072B222EE	SLC1A1	0.003	0.01	0.003	0.003	0.017	0.011	0.013	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS2_and_SLC1A1	CPI-CC01F565028	SLC1A1	0.003	0.01	0.003	0.003	0.017	0.011	0.013	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS2_and_SLC1A1	CPI-CC01F8CA118	SLC1A1	0.003	0.01	0.003	0.003	0.017	0.011	0.013	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS2_and_SLC1A1	CPI-CC07C08B2DE	SLC1A1	0.003	0.01	0.003	0.003	0.017	0.011	0.013	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS2_and_SLC1A1	CPI-CS089C871BA	SLC1A1	0.003	0.01	0.003	0.003	0.017	0.011	0.013	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS2_and_SLC1A1	CPI-CS0286AF8D6	SLC1A1	0.003	0.01	0.003	0.003	0.017	0.011	0.013	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS2_and_SLC1A1	CPI-CS081D8412E	SLC1A1	0.003	0.01	0.003	0.003	0.017	0.011	0.013	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS2_and_SLC1A1	CPI-CS0041BE443	SLC1A1	0.003	0.01	0.003	0.003	0.017	0.011	0.013	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS2_and_SLC1A1	CPI-CS05B11F2F4	SLC1A1	0.003	0.01	0.003	0.003	0.017	0.011	0.013	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS2_and_SLC1A1	CPI-CS05610B89F	SLC1A1	0.003	0.01	0.003	0.003	0.017	0.011	0.013	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS2_and_SLC1A1	CPI-CS00061350E	SLC1A1	0.003	0.01	0.003	0.003	0.017	0.011	0.013	0.016
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS2_and_SLC1A1	CPI-CS0A14FBC54	SLC1A1	0.003	0.01	0.003	0.003	0.017	0.011	0.013	0.016
SLC1A2	P43004	True	EAA2_HUMAN	Glutamate_byGLS_and_SLC1A2	CPI-CS03487854B	SLC1A2	0.017	0.005	0.018	0.003	0.005	0.0	0.0	0.0
SLC1A2	P43004	True	EAA2_HUMAN	Glutamate_byGLS_and_SLC1A2	CPI-CS00BBBEE62	SLC1A2	0.017	0.005	0.018	0.003	0.005	0.0	0.0	0.0
SLC1A2	P43004	True	EAA2_HUMAN	Glutamate_byGLS_and_SLC1A2	CPI-CS07BBA568D	SLC1A2	0.017	0.005	0.018	0.003	0.005	0.0	0.0	0.0
SLC1A2	P43004	True	EAA2_HUMAN	Glutamate_byGLS_and_SLC1A2	CPI-CS056114BA1	SLC1A2	0.017	0.005	0.018	0.003	0.005	0.0	0.0	0.0
SLC1A2	P43004	True	EAA2_HUMAN	Glutamate_byGLS_and_SLC1A2	CPI-CS034026D0F	SLC1A2	0.017	0.005	0.018	0.003	0.005	0.0	0.0	0.0
SLC1A2	P43004	True	EAA2_HUMAN	Glutamate_byGLS_and_SLC1A2	CPI-CC0924D1237	SLC1A2	0.017	0.005	0.018	0.003	0.005	0.0	0.0	0.0
SLC1A2	P43004	True	EAA2_HUMAN	Glutamate_byGLS_and_SLC1A2	CPI-CC0C78F642C	SLC1A2	0.017	0.005	0.018	0.003	0.005	0.0	0.0	0.0
SLC1A2	P43004	True	EAA2_HUMAN	Glutamate_byGLS_and_SLC1A2	CPI-CS0B15FCB8B	SLC1A2	0.017	0.005	0.018	0.003	0.005	0.0	0.0	0.0
SLC1A2	P43004	True	EAA2_HUMAN	Glutamate_byGLS_and_SLC1A2	CPI-CC0D02A5FE5	SLC1A2	0.017	0.005	0.018	0.003	0.005	0.0	0.0	0.0
SLC1A2	P43004	True	EAA2_HUMAN	Glutamate_byGLS_and_SLC1A2	CPI-CC033AC2E73	SLC1A2	0.017	0.005	0.018	0.003	0.005	0.0	0.0	0.0
