id_cp_interaction,partner_receptor,partner_TF,protein_name_receptor,protein_name_TF,receptor_id,TF_symbol,Effect,Source,Curator,Xrefs_or_figures,Brivanlou_class
,P16234,P40763,,STAT3_HUMAN,PDGFRA,STAT3,1,PMID: 9788278,RuxTes ,,IIB3b_RL_signal_dependent_cytoplasmic
,P16234,P42224,,STAT1_HUMAN,PDGFRA,STAT1,1,PMID: 9788278,RuxTes ,,IIB3b_RL_signal_dependent_cytoplasmic
,P16234,P42229,,STA5A_HUMAN,PDGFRA,STAT5A,1,PMID: 9484840,RuxTes ,,IIB3b_RL_signal_dependent_cytoplasmic
,P16234,P51692,,STA5B_HUMAN,PDGFRA,STAT5B,1,PMID: 9484840,RuxTes ,,IIB3b_RL_signal_dependent_cytoplasmic
,P09619,P40763,,STAT3_HUMAN,PDGFRB,STAT3,1,PMID:10207096;PMID:9484840,RuxTes ,,IIB3b_RL_signal_dependent_cytoplasmic
,P09619,P42224,,STAT1_HUMAN,PDGFRB,STAT1,1,PMID:10207096;PMID:9484840,RuxTes ,,IIB3b_RL_signal_dependent_cytoplasmic
,P09619,P42229,,STA5A_HUMAN,PDGFRB,STAT5A,1,PMID: 9813029,RuxTes ,,IIB3b_RL_signal_dependent_cytoplasmic
,P09619,P51692,,STA5B_HUMAN,PDGFRB,STAT5B,1,PMID: 9813029,RuxTes ,,IIB3b_RL_signal_dependent_cytoplasmic
,P06401,P06401,,PRGR_HUMAN,PGR,PGR,1,selfAssos,LGarciaAlonso,,IIB1_steroid_receptor
,Q07869,Q07869,,PPARA_HUMAN,PPARA,PPARA,1,selfAssos,LGarciaAlonso,,IIB1_steroid_receptor
,Q03181,Q03181,,PPARD_HUMAN,PPARD,PPARD,1,selfAssos,LGarciaAlonso,,IIB1_steroid_receptor
,P37231,P37231,,PPARG_HUMAN,PPARG,PPARG,1,selfAssos,LGarciaAlonso,,IIB1_steroid_receptor
,PTCH_BOC_transmembrane_receptor ,P08151,,GLI1_HUMAN,PTCH_BOC_transmembrane_receptor ,GLI1,1,reactome;Uniprot;NetPath,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic
,PTCH_BOC_transmembrane_receptor ,P10070,,GLI2_HUMAN,PTCH_BOC_transmembrane_receptor ,GLI2,1,reactome;Uniprot;NetPath,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic
,PTCH_BOC_transmembrane_receptor ,P10071,,GLI3_HUMAN,PTCH_BOC_transmembrane_receptor ,GLI3,1,reactome;Uniprot;NetPath,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic
,PTCH_CDON_transmembrane_receptor ,P08151,,GLI1_HUMAN,PTCH_CDON_transmembrane_receptor ,GLI1,1,reactome;Uniprot;NetPath,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic
,PTCH_CDON_transmembrane_receptor ,P10070,,GLI2_HUMAN,PTCH_CDON_transmembrane_receptor ,GLI2,1,reactome;Uniprot;NetPath,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic
,PTCH_CDON_transmembrane_receptor ,P10071,,GLI3_HUMAN,PTCH_CDON_transmembrane_receptor ,GLI3,1,reactome;Uniprot;NetPath,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic
,PTCH_GAS1_transmembrane_receptor ,P08151,,GLI1_HUMAN,PTCH_GAS1_transmembrane_receptor ,GLI1,1,reactome;Uniprot;NetPath,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic
,PTCH_GAS1_transmembrane_receptor ,P10070,,GLI2_HUMAN,PTCH_GAS1_transmembrane_receptor ,GLI2,1,reactome;Uniprot;NetPath,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic
,PTCH_GAS1_transmembrane_receptor ,P10071,,GLI3_HUMAN,PTCH_GAS1_transmembrane_receptor ,GLI3,1,reactome;Uniprot;NetPath,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic
,P43115,P14921,PE2R3_HUMAN,ETS1_HUMAN,PTGER3,ETS1,1,PMID:12486127,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic
,P43115,P19419,PE2R3_HUMAN,ELK1_HUMAN,PTGER3,ELK1,1,PMID:12486127,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic
,Q03431,Q12948,PTH1R_HUMAN,FOXC1_HUMAN,PTH1R,FOXC1,1,PMID:32431614,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic
,Q03431,Q13950,PTH1R_HUMAN,RUNX2_HUMAN,PTH1R,RUNX2,1,PMID:32431614,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic
,RAreceptor_RARA,P10276,,RARA_HUMAN,RAreceptor_RARA,RARA,1,selfAssos,LGarciaAlonso,,IIB1_steroid_receptor
,RAreceptor_RARA_RXRA,C9JSJ3,,MEIOS_HUMAN,RAreceptor_RARA_RXRA,MEIOSIN,1,publication,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic
,RAreceptor_RARA_RXRA,P10276,,RARA_HUMAN,RAreceptor_RARA_RXRA,RARA,1,selfAssos,LGarciaAlonso,,IIB1_steroid_receptor
,RAreceptor_RARA_RXRA,P19793,,RXRA_HUMAN,RAreceptor_RARA_RXRA,RXRA,1,selfAssos,LGarciaAlonso,,IIB1_steroid_receptor
,RAreceptor_RARB,P10826,,RARB_HUMAN,RAreceptor_RARB,RARB,1,selfAssos,LGarciaAlonso,,IIB1_steroid_receptor
,RAreceptor_RARB_RXRB,C9JSJ3,,MEIOS_HUMAN,RAreceptor_RARB_RXRB,MEIOSIN,1,publication,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic
,RAreceptor_RARB_RXRB,P10826,,RARB_HUMAN,RAreceptor_RARB_RXRB,RARB,1,selfAssos,LGarciaAlonso,,IIB1_steroid_receptor
,RAreceptor_RARB_RXRB,P28702,,RXRB_HUMAN,RAreceptor_RARB_RXRB,RXRB,1,selfAssos,LGarciaAlonso,,IIB1_steroid_receptor
,RAreceptor_RARG,P13631,,RARG_HUMAN,RAreceptor_RARG,RARG,1,selfAssos,LGarciaAlonso,,IIB1_steroid_receptor
,RAreceptor_RARG_RXRG,C9JSJ3,,MEIOS_HUMAN,RAreceptor_RARG_RXRG,MEIOSIN,1,publication,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic
,RAreceptor_RARG_RXRG,P13631,,RARG_HUMAN,RAreceptor_RARG_RXRG,RARG,1,selfAssos,LGarciaAlonso,,IIB1_steroid_receptor
,RAreceptor_RARG_RXRG,P48443,,RXRG_HUMAN,RAreceptor_RARG_RXRG,RXRG,1,selfAssos,LGarciaAlonso,,IIB1_steroid_receptor
,RAreceptor_RXRA,P19793,,RXRA_HUMAN,RAreceptor_RXRA,RXRA,1,selfAssos,LGarciaAlonso,,IIB1_steroid_receptor
,RAreceptor_RXRB,P28702,,RXRB_HUMAN,RAreceptor_RXRB,RXRB,1,selfAssos,LGarciaAlonso,,IIB1_steroid_receptor
,RAreceptor_RXRG,P48443,,RXRG_HUMAN,RAreceptor_RXRG,RXRG,1,selfAssos,LGarciaAlonso,,IIB1_steroid_receptor
,P35398,P35398,,RORA_HUMAN,RORA,RORA,1,selfAssos,LGarciaAlonso,,IIB1_steroid_receptor
,Q92753,Q92753,,RORB_HUMAN,RORB,RORB,1,selfAssos,LGarciaAlonso,,IIB1_steroid_receptor
,P51449,P51449,,RORG_HUMAN,RORC,RORC,1,selfAssos,LGarciaAlonso,,IIB1_steroid_receptor
,TGFbeta_receptor1,P84022,,SMAD3_HUMAN,TGFbeta_receptor1,SMAD3,1,Uniprot;PMID:25136781,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic
,TGFbeta_receptor1,Q15796,,SMAD2_HUMAN,TGFbeta_receptor1,SMAD2,1,Uniprot;PMID:25136781,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic
,TGFbeta_receptor2,P84022,,SMAD3_HUMAN,TGFbeta_receptor2,SMAD3,1,Uniprot;PMID:25136781,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic
,TGFbeta_receptor2,Q15796,,SMAD2_HUMAN,TGFbeta_receptor2,SMAD2,1,Uniprot;PMID:25136781,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic
,P10827,P10827,,THA_HUMAN,THRA,THRA,1,selfAssos,LGarciaAlonso,,IIB1_steroid_receptor
,P10828,P10828,,THB_HUMAN,THRB,THRB,1,selfAssos,LGarciaAlonso,,IIB1_steroid_receptor
,Q9NYK1,Q13568,,IRF5_HUMAN,TLR7,IRF5,1,PMID:15695821,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic
,Q9NR97,Q13568,,IRF5_HUMAN,TLR8,IRF5,1,PMID:15695821,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic
,P19438,P19838,TNR1A_HUMAN,NFKB1_HUMAN,TNFRSF1A,NFKB1,1,,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic
,P20333,P19838,TNR1B_HUMAN,NFKB1_HUMAN,TNFRSF1B,NFKB1,1,,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic
,Type_I_IFNR,P42224,,STAT1_HUMAN,Type_I_IFNR,STAT1,1,Uniprot,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic
,Type_I_IFNR,P52630,,STAT2_HUMAN,Type_I_IFNR,STAT2,1,Uniprot,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic
,Type_II_IFNR,P42224,,STAT1_HUMAN,Type_II_IFNR,STAT1,1,Uniprot,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic
,Type_II_IFNR,P52630,,STAT2_HUMAN,Type_II_IFNR,STAT2,1,Uniprot,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic
,Type_III_IFNR,P42224,,STAT1_HUMAN,Type_III_IFNR,STAT1,1,Uniprot,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic
,Type_III_IFNR,P52630,,STAT2_HUMAN,Type_III_IFNR,STAT2,1,Uniprot,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic
,P11473,P11473,VDR_HUMAN,VDR_HUMAN,VDR,VDR,1,selfAssos,LGarciaAlonso,,IIB1_steroid_receptor
